webcode,url,title
lg6,http://www.lmu.de/studium/studium_aktuell/neuigkeiten/studkanz/system.html,Studentenkanzlei
xkj,http://www.portal.lmu.de,Portal LMU
2nn,http://www.lsf.lmu.de,LSF
rvq,http://www.uniworx.ifi.lmu.de,Uniworx
m0q,http://pvineu.ifi.lmu.de,PVI
z6l,http://www.rz.ifi.lmu.de/Dienste/Mailsystem.html,Informationen zu Webmail
d28,http://webmail.physik.uni-muenchen.de,Webmail
pfu,http://www.it.physik.uni-muenchen.de/dienste/kommunikation/e-mail,Informationen zu Webmail
8sp,http://www.lrz.de/services/netz/mobil/eduroam,Eduroam
sei,http://tools.rz.ifi.lmu.de/cipconf/index.rb?op=msdnaa,MSDNAA für Informatik
jdv,http://emedien.ub.uni-muenchen.de/,E-Medien-Login
a6c,http://muenchen.de/dienstleistungsfinder/muenchen/1063475/,Dienstleistungsfinder München
v56,http://awm-muenchen.de,Müllentsorgung München
803,http://rundfunkbeitrag.de,Rundfunkbeitrag
s5p,http://www.studentenwerk-muenchen.de/wohnen/wohnanlagen-des-studentenwerks-muenchen/,Stundentenwerkswohnheime
fta,http://www.studentenwerk-muenchen.de/wohnen/vermittlung-von-privatzimmern/,Privatzimmer
quu,http://www.studentenwerk-muenchen.de/wohnen/weitere-wohnangebote,weitere Wohnangebote
wdb,http://www.caritastoelz.de/Page010179.htm,Notunterkünfte Caritas
var,http://www.wohnhilfe-muenchen.de/jugendhilfe/die-jugendpension-jup.html,Notunterkünfte Jugendhilfe
fc4,http://wg-gesucht.de,WG-Suchmaschine
8ua,http://studenten-wg.de,WG-Suchmaschine
c5e,http://www.bioinformatik-muenchen.com/bioinfocom/fachschaft/,Fachschaft Bioinformatik
psi,http://www.meteo.physik.lmu.de/~studmet,Fachschaft Meteorologie
qev,http://callabike-interaktiv.de,Call a Bike
acq,http://nextbike.de,Nextbike
cyl,http://semesterticket-muenchen.de,AK Mobilität zum Semesterticket München
52c,http://mvg-mobil.de/tarife/ausbildungstarif.html,MVG Ausbildungstarif
fur,http://die-informatiker.net,Informatik-Forum der LMU-Studenten
65t,http://die-physiker.org,Physik-Forum der LMU-Studenten
etf,http://die-mathematiker.net,Mathematik-Forum der LMU-Studenten
8rm,http://www.lmu.de/pruefungsaemter,Prüfungsämter
46h,http://www.lmu.de/studentenkanzlei,Studentenkanzlei
6oy,http://www.gleichstellungsbeauftragte.lmu.de,Gleichstellungsbeauftragte
kes,http://www.mathematik-informatik-statistik.uni-muenchen.de/fakultaet/beauftragte/index.html,"Fakultät 16 (Mathe, Info und Statistik)"
9zo,http://www.physik.uni-muenchen.de/fakultaet/einrichtungen/frauenbauftragte/index.html,"Fakultät 17 (Physik, Meteorologie)"
8rz,http://studentenwerk-muenchen.de/studieren-mit-kind,Beratung vom Studentenwerk
skz,http://www.lmu.de/studium/beratung/beratung_service/beratung_lmu/schwangere_kind,Beratung von der LMU
nau,http://studentenwerk-muenchen.de/studieren-mit-behinderung,Beratung vom Studentenwerk
d6u,http://www.lmu.de/barrierefrei,Beratung von der LMU
mbj,http://www.khg.lmu.de,"Katholische Hochschulgemeinde (KHG), Leopoldstr. 11"
a88,http://www.esg.lmu.de,"Evangelische Studentengemeinde (ESG), Friedrichstr. 25"
ny5,http://www.studentenwerk-muenchen.de/beratungsnetzwerk/psychosoziale-und-psychotherapeutische-beratung/,psychosoziale Beratung
rxd,http://www.nightline.mhn.de/,Nightline München
iy6,http://studentenwerk-muenchen.de/beratungsnetzwerk,weitere Beratungsangebote des Studentenwerks
x49,http://www.die-informatiker.net/forum/Jobs,Jobangebote für Informatiker
8sz,http://www.s-a.uni-muenchen.de/studierende/jobboerse/index.html,Jobbörse von Student und Arbeitsmarkt der LMU
gjv,http://www.jobcafe.de,Jobbörse für Stundenten
zzp,http://www.uni-muenchen.de/aktuelles/stellenangebote/stud_hilfskraft/index.html,Jobangebote von der LMU
d3h,http://www.bafoeg-rechner.de/Rechner,BAföG-Rechner
2gq,http://das-neue-bafoeg.de,BAföG-Unterlagen
3y8,http://bafoeg-bayern.de,Unterlagen online ausfüllen
s0t,http://www.lmu.de/deutschlandstipendium,Deutschlandstipendium
jyc,http://www.lmu.de/studium/studienfinanzierung/stift,Übersicht über Stipendiumsfinder
zhc,http://eu-community.daad.de/index.php?id=38,Erfahrungsberichte
5gs,http://www.lmu.de/international/auslandsstudium,Referat Internationale Angelegenheiten
72r,http://www.s-a.lmu.de,Student und Arbeitsmarkt
ikc,http://zhs-muenchen.de,Zentraler Hochschulsport München
lvr,http://sportan3.zhs.ze.tum.de/angebote/aktueller_zeitraum_0/index_marken.html,Marken online buchen
iqu,http://www.uni-muenchen.de/studium/stud_leben/kulturelles-leben/index.html,Musikgruppen der LMU
334,http://studentenwerk-muenchen.de/mensa,Mensen des Studentenwerks 
l78,http://opacplus.ub.uni-muenchen.de,Recherchemöglichkeiten und Verlängern in der Uni-Bibliothek
las,http://www.ub.lmu.de,Tutorials
ou4,http://www.ub.tum.de,Bibliothek der TUM
vyq,http://bsb-muenchen.de,Stabi
g55,http://deutsches-museum.de/bibliothek,Bibliothek des Deutschen Museums
bb7,http://muenchner-stadtbibliothek.de,Münchner Stadtbibliothek
jfi,https://mailbox.portal.uni-muenchen.de,Webmail
d92,https://webmail.ifi.lmu.de,Webmail
8cf,https://msdnaa.physik.uni-muenchen.de/,MSDNAA für Physik
hc5,https://gaf.fs.lmu.de/klausuren,Online-Sammlung der Klausuren
22f,https://gaf.fs.lmu.de/zugangsdaten/zugangsdaten.html,Zugangsdaten für die Klausuren-Sammlung
yew,https://gaf.fs.lmu.de,Website deiner Fachschaft
w99,https://mi.fs.lmu.de,Fachschaft Medieninformatik
kmk,https://www.moveon.verwaltung.uni-muenchen.de/move/moveonline/exchanges/search.php,"Austauschabkommen, -verträge und Erfahrungsberichte"
elp,http://u-kino.de,Das u.kino (LMU)
38w,http://tu-film.de,Der tu film (TUM)
jjr,http://www.frauenbeauftragte.uni-muenchen.de/weiterbildung/plus/index.html,LMU-PLUS
zr2,http://www.statistik.lmu.de/~fachsch/,Fachschaft Statistik
epv,http://www.irchelp.org/irchelp/clients/,Clientübersicht nach Betriebssystem
kck,https://webchat.freenode.net/,Freenode-Webchat
c72,http://www.mystipendium.de/,Stipendiensuchmaschine myStipendium
cf3,http://www.uni-muenchen.de/studium/studienangebot/zusatzquali/index.html,Zusatzangebote der LMU
46n,http://www.hilfe.lsf.uni-muenchen.de/lsf_hilfe/funktionen/stdplan/index.html,LSF Anleitung
ole,http://conf.cip.ifi.lmu.de/,Informatik Rechnerkonfiguration
bu0,,
lck,,
s9b,,
7cf,,
4fh,,
3yo,,
b6i,,
05t,,
lst,,
3yt,,
